,fromTaz,toTaz,route_edges,id,start_edge,last_edge
0,taz_1,taz_16,301865760 301865760-AddedOffRampEdge 8923775,0,301865760,8923775
1,taz_0,taz_65,509747233 509747233-AddedOffRampEdge 417525775,1,509747233,417525775
2,taz_18,taz_2,10025443#0 394126785 508479370#1-AddedOnRampEdge 508479370#1,2,10025443#0,508479370#1
3,taz_2,taz_18,157607513#0 157607513#0-AddedOffRampEdge 394126783 157607723,3,157607513#0,157607723
4,taz_65,taz_0,8927786 509717807 509721010#1-AddedOnRampEdge 509721010#1,4,8927786,509721010#1
5,taz_71,taz_3,157607703 362549958 395439808 395439806 395439800,5,157607703,395439800
6,taz_3,taz_71,395439804 686995598 686995598-AddedOffRampEdge 394110512 26277019,6,395439804,26277019
7,taz_16,taz_1,157782427#0 395408752 28464126#1-AddedOnRampEdge 28464126#1 552603209,7,157782427#0,552603209
8,taz_4,taz_78,28357384#1 28357294 394113586 544305553 28357269#0,8,28357384#1,28357269#0
9,taz_78,taz_4,349958923#1 394112500 395452060 28357257 8947524#1 28357293,9,349958923#1,28357293
10,taz_68,taz_67,157607751 850395063-AddedOnRampEdge 850395063 850395063-AddedOffRampEdge 417513700 394161435 394161434#0,10,157607751,394161434#0
11,taz_17,taz_16,157607701 508479343 28414204#1 508479346-AddedOffRampEdge 394159695 394159694 157782429#0,11,157607701,157782429#0
12,taz_69,taz_66,525720404 15371862#1 503520926 503520922 687721973 157607718 124952189 395368018,12,525720404,395368018
13,taz_65,taz_67,8926043 509721011 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 8926075 394161875,13,8926043,394161875
14,taz_4,taz_69,28357384#1 28357294 850376107 157750991#1 850746592 157607739 394133936 28414959#0,14,28357384#1,28414959#0
15,taz_68,taz_70,157607735#0 157607735#1 867203204 867203204-AddedOffRampEdge 417527262 30832610 157751113 394139592#0,15,157607735#0,394139592#0
16,taz_71,taz_70,96747684 510072352 363648763#1-AddedOnRampEdge 363648763#1 363648763#1-AddedOffRampEdge 157607746 394139591 394139595#0,16,96747684,394139595#0
17,taz_70,taz_71,416130155 157607733#2 508479332#1-AddedOnRampEdge 508479332#1 157607611 157607611-AddedOffRampEdge 26276999 394110951,17,416130155,394110951
18,taz_78,taz_69,349958907#1 503590376 503590375 503590373 157750991#1 850746592 157607739 394133936 28414959#0,18,349958907#1,28414959#0
19,taz_67,taz_65,23891838 395388037 687721971 687721971-AddedOffRampEdge 417514364 28414572 28414573 283638411 283637999,19,23891838,283637999
